order_id,order_date,region,channel,status,amount,discount_rate,refund_flag,delivery_days
O1001,2026-07-01,华南,直播,completed,399.00,0.10,0,2
O1002,2026-07-01,华东,搜索,completed,129.00,0.00,0,3
O1003,2026-07-02,华南,商城,refunded,259.00,0.15,1,4
O1004,2026-07-02,华北,直播,completed,899.00,0.20,0,2
O1005,2026-07-03,华南,搜索,completed,0.00,0.00,0,1
O1006,2026-07-03,华东,商城,completed,199.00,0.65,0,3
O1007,2026-07-04,华北,商城,completed,329.00,0.05,0,12
O1008,2026-07-04,华南,直播,completed,159.00,0.10,0,2
O1009,2026-07-05,西南,搜索,completed,459.00,0.12,0,5
O1010,2026-07-05,华东,直播,refunded,239.00,0.08,1,3
O1011,2026-07-06,华南,商城,completed,699.00,0.18,0,4
O1012,2026-07-06,西南,直播,completed,99.00,0.00,0,11
O1013,2026-07-07,华北,搜索,completed,549.00,0.10,0,3
O1014,2026-07-07,华东,商城,completed,189.00,0.05,0,2
O1015,2026-07-08,华南,搜索,refunded,369.00,0.10,1,6
O1016,2026-07-08,华北,直播,completed,429.00,0.15,0,2
O1017,2026-07-09,西南,商城,completed,279.00,0.70,0,4
O1018,2026-07-09,华东,搜索,completed,319.00,0.00,0,3
O1019,2026-07-10,华南,直播,completed,1099.00,0.25,0,1
O1020,2026-07-10,华北,商城,completed,149.00,0.00,0,14
